post_id,tag_id
2001,18
2002,14
2003,13
2004,8
2005,20
2006,5
2007,18
2008,3
2009,7
2010,3
2011,13
2012,6
2013,3
2014,14
2015,1
2016,9
2017,4
2018,15
2019,11
2020,2
2021,2
2022,9
2023,20
2024,6
2025,20
2026,18
2027,19
2028,7
2029,4
2030,10
2031,19
2032,10
2033,5
2034,15
2035,8
2036,2
2037,19
2038,6
2039,14
2040,14
2041,6
2042,20
2043,4
2044,8
2045,19
2046,3
2047,11
2048,13
2049,11
2050,8
2051,2
2052,9
2053,7
2054,4
2055,12
2056,4
2057,18
2058,1
2059,2
2060,9
2061,8
2062,3
2063,10
2064,16
2065,20
2066,14
2067,16
2068,3
2069,2
2070,8
2071,7
2072,15
2073,4
2074,20
2075,2
2076,11
2077,9
2078,9
2079,20
2080,4
2081,17
2082,18
2083,3
2084,17
2085,19
2086,6
2087,13
2088,15
2089,7
2090,8
2091,12
2092,15
2093,10
2094,20
2095,12
2096,20
2097,13
2098,9
2099,14
2100,17
2101,18
2102,11
2103,7
2104,4
2105,3
2106,19
2107,4
2108,11
2109,11
2110,16
2111,16
2112,11
2113,14
2114,11
2115,9
2116,18
2117,17
2118,4
2119,2
2120,15
2121,2
2122,13
2123,9
2124,6
2125,19
2126,15
2127,2
2128,7
2129,5
2130,15
2131,1
2132,5
2133,15
2134,5
2135,15
2136,15
2137,17
2138,17
2139,20
2140,11
2141,2
2142,13
2143,9
2144,2
2145,13
2146,16
2147,16
2148,19
2149,7
2150,13
2151,12
2152,15
2153,14
2154,12
2155,7
2156,11
2157,11
2158,10
2159,12
2160,6
2161,2
2162,1
2163,11
2164,9
2165,10
2166,3
2167,10
2168,7
2169,7
2170,12
2171,3
2172,11
2173,13
2174,20
2175,20
2176,1
2177,7
2178,3
2179,10
2180,6
2181,17
2182,7
2183,15
2184,20
2185,19
2186,4
2187,20
2188,20
2189,18
2190,15
2191,9
2192,16
2193,4
2194,5
2195,2
2196,4
2197,16
2198,5
2199,14
2200,19
2201,4
2202,7
2203,20
2204,10
2205,3
2206,12
2207,7
2208,6
2209,15
2210,4
2211,19
2212,12
2213,16
2214,9
2215,4
2216,14
2217,2
2218,3
2219,15
2220,15
2221,20
2222,8
2223,11
2224,14
2225,1
2226,19
2227,2
2228,7
2229,10
2230,1
2231,16
2232,3
2233,17
2234,20
2235,6
2236,16
2237,11
2238,20
2239,18
2240,10
2241,12
2242,12
2243,7
2244,7
2245,19
2246,10
2247,6
2248,4
2249,16
2250,20
2251,2
2252,6
2253,7
2254,7
2255,7
2256,14
2257,3
2258,11
2259,15
2260,13
2261,12
2262,17
2263,10
2264,5
2265,4
2266,5
2267,13
2268,2
2269,10
2270,19
2271,7
2272,15
2273,7
2274,17
2275,20
2276,5
2277,9
2278,13
2279,9
2280,13
2281,6
2282,13
2283,3
2284,16
2285,18
2286,13
2287,12
2288,18
2289,18
2290,11
2291,1
2292,14
2293,13
2294,12
2295,4
2296,16
2297,6
2298,6
2299,4
2300,10
2301,7
2302,1
2303,20
2304,10
2305,6
2306,3
2307,6
2308,15
2309,10
2310,7
2311,6
2312,10
2313,9
2314,11
2315,18
2316,10
2317,16
2318,1
2319,20
2320,12
2321,14
2322,20
2323,12
2324,12
2325,14
2326,9
2327,6
2328,7
2329,13
2330,14
2331,10
2332,8
2333,8
2334,20
2335,19
2336,8
2337,3
2338,11
2339,20
2340,20
2341,18
2342,13
2343,3
2344,6
2345,15
2346,7
2347,10
2348,16
2349,2
2350,18
2351,3
2352,3
2353,8
2354,9
2355,19
2356,7
2357,12
2358,17
2359,4
2360,16
2361,17
2362,9
2363,5
2364,5
